ID,year,tamano,sales,age,foreign,export,workers,fomento,iyd,impuestos,utilidades
100100,2009,1,7.206911378,65,0,0,1.397940009,0,0,-1.6094503,-24.55015
100106,2007,1,3.750320968,37,0,1,1.612783857,1,1,0.000159104,0.000697469
100106,2015,1,3.760907589,39,0,1,2.31386722,0,1,0.001007104,0.001007105
100109,2007,1,4.23380292,41,0,0,2.365487985,0,1,3.78E-05,-0.00015713
100109,2015,1,4.010659924,50,0,0,3.397418542,0,1,3.64E-07,-0.000737476
100109,2017,1,4.047666724,77,0,0,3.140193679,0,1,3.24E-05,0.000368551
100111,2007,1,3.751151854,17,0,0,2.056904851,0,1,2.21E-05,0.000152988
100112,2009,1,6.755957364,16,0,0,2.06069784,0,0,0,-0.25091069
100112,2013,1,3.950587743,56,0,0,3.057285644,0,0,0,-0.000381244
100112,2015,1,4.045411863,58,0,0,2.598790507,0,0,2.78E-06,-0.000251432
100112,2017,1,4.059655871,60,0,1,3.397418542,0,0,0,-0.000199225
100113,2007,1,5.672319855,57,1,1,2.460897843,1,1,0.000345937,0.000564158
100113,2009,1,8.491958963,16,1,1,2.271841607,0,1,1.0631854,4.671475
100113,2013,1,5.562638746,63,0,1,3.161368002,0,1,0.000370362,-0.000281903
100113,2015,1,5.490623116,65,0,1,3.495127881,0,1,0,-0.004809823
100115,2007,1,4.016030298,18,0,0,2.264817823,0,0,0,0.00109478
100116,2007,1,5.451703605,102,0,1,3.098643726,1,1,0,0.029197162
100117,2007,1,4.941475445,16,0,1,2.775974331,0,1,0.001651697,-0.000886015
100118,2007,1,4.684369638,72,0,1,2.46834733,1,1,0.001103397,0.007859273
100118,2009,1,7.762633234,74,1,1,2.525044807,0,1,2.3146633,6.54666
100121,2007,1,3.835900998,12,0,0,2.120573931,0,1,0,1.14E-05
100124,2007,1,3.611551627,13,0,0,1.949390007,0,0,0,-0.000345802
100124,2015,1,4.127608903,21,0,0,2.825426118,0,1,0,0.000245812
100124,2017,1,4.115282387,23,0,0,2.745855195,0,1,0,0.000231779
100125,2007,1,5.558268655,54,1,1,2.716003344,1,1,0.017103781,0.077207516
100125,2013,1,7.250498095,20,0,1,3.828659897,0,1,0.018249705,0.019608125
100127,2007,1,4.235093025,21,0,1,2.507855872,0,0,0,-0.000316954
100128,2007,1,4.592110197,12,0,0,3.079543007,1,1,0,0.001150695
100128,2009,1,7.884070132,14,0,0,2.679427897,1,1,0.61894769,4.1974315
100128,2013,1,5.046181602,18,0,0,4.194680813,0,0,0,0.000775753
100128,2015,1,5.182187202,20,0,0,4.3931363,0,0,0.000546621,0.001400527
100129,2007,1,5.345892065,30,1,0,2.698970004,0,1,0.003924387,0.020950002
100129,2009,1,8.225742411,16,1,1,2.540329475,0,0,0.96727563,8.453743
100129,2013,1,5.24306212,36,1,1,3.672559628,0,0,0.001882348,0.002152604
100129,2015,1,5.020623645,38,1,1,3.639586087,0,0,0.000828422,-0.00857628
100129,2017,1,5.114464327,40,1,1,3.424391554,0,0,0.001270043,-0.000244797
100131,2007,1,3.985280793,28,0,0,1.579783597,0,1,9.64E-05,0.000570892
100131,2015,1,3.817348188,36,0,0,2.912222057,0,0,0,8.93E-06
100131,2017,1,3.753132492,38,0,0,2.752048448,0,0,4.94E-05,-0.00081299
100132,2007,1,3.648756209,14,0,0,1.748188027,0,1,2.32E-05,0.000374992
100133,2007,1,4.230743503,19,0,1,2.385606274,1,0,0.000348576,0.001639884
100133,2009,1,7.252727116,16,0,0,2.442479769,1,0,0.60981544,3.2037828
100133,2013,1,4.193176349,25,0,1,3.106870544,0,0,0.000884328,0.002136955
100133,2015,1,3.646496967,22,0,1,3.169380495,0,1,0,-0.000235205
100134,2007,1,6.334895662,32,1,1,2.944975908,1,1,0.021407316,0.16623738
100134,2009,1,8.856987897,34,1,1,2.886490725,0,1,15.926014,71.937536
100134,2013,1,6.12331677,38,1,1,4.010002974,1,1,0.000313532,0.026761637
100134,2015,1,5.731904855,40,1,1,4.045674967,0,1,0,0.061842859
100134,2017,1,5.710985796,42,1,1,4.016239191,1,1,0,0.077791172
100135,2007,1,5.281079023,14,0,1,3.201943063,1,1,0.002003231,0.007193601
100135,2009,1,7.157306991,29,0,1,3.123524981,0,1,0.001546941,14.303241
100135,2013,1,5.205102385,20,0,1,4.216007468,1,1,0.000678617,0.011379628
100135,2015,1,5.347651508,30,0,1,4.230321169,0,0,7.43E-05,0.021179354
100135,2017,1,5.314231201,32,0,1,4.027920136,1,1,0.002449836,0.021354799
100136,2007,1,4.484964342,56,0,0,2.004321374,1,1,0.000196722,0.001454567
100136,2009,1,7.474732898,19,0,0,1.949390007,0,1,0,3.411721
100136,2013,1,4.569208764,20,0,0,3.269746373,0,1,0.000529853,0.001669107
100137,2007,1,3.745368825,19,0,1,1.556302501,0,1,5.10E-05,0.00026041
100137,2015,1,3.759218748,27,0,1,2.658011397,0,1,0.00020135,0.000735164
100138,2007,1,4.85734602,11,0,1,2.688419822,0,1,0.000210023,0.002398583
100138,2009,1,7.95693005,16,0,1,2.759667845,0,1,0.83915631,4.352692
100138,2013,1,5.110312818,20,0,0,3.536937023,0,0,0.001336987,0.006022883
100138,2015,1,5.390701514,22,0,0,3.666798684,0,1,0.00311824,0.012160197
100139,2007,1,4.055101878,26,1,1,1.740362689,0,1,0.00011895,0.000796361
100139,2009,1,7.064445559,28,1,1,1.72427587,0,0,-0.075120344,0.22133936
100139,2013,1,3.844214737,32,1,1,2.58546073,0,1,7.22E-06,0.000156852
100139,2015,1,3.816181529,34,1,1,2.58546073,0,0,0.000228509,0.000561491
100139,2017,1,3.933839485,36,1,1,2.748188027,0,1,0.000340161,0.001062386
100140,2007,1,5.488178925,71,0,1,2.991669007,1,1,0.001593701,0.009377286
100140,2009,1,8.486812095,16,0,1,3.058805487,0,1,0,-20.021648
100140,2013,1,5.891538991,20,0,1,4.028489917,0,0,0.000330473,0.006413794
100140,2015,1,5.932100573,38,0,1,3.917137753,0,0,2.92E-06,0.012969287
100141,2007,1,6.54810012,40,0,1,3.286905353,1,1,0.1634488,1.6550804
100141,2009,1,9.200346643,39,0,1,3.611829479,1,1,19.728132,319.943136
100141,2013,1,3.673123503,34,0,1,4.995560612,1,1,0.000123256,0.000211411
100141,2015,1,6.328857167,36,0,1,4.533505148,1,1,0.033500641,0.43959166
100141,2017,1,6.268498945,38,0,1,4.56594222,0,1,0.066520664,0.28055341
100142,2007,1,5.496071886,98,1,1,3.337059726,1,1,0.01638785,0.094179508
100142,2009,1,8.535461668,16,1,1,2.940018155,1,0,15.887834,79.65452
100142,2013,1,5.996687001,104,1,1,2.804820679,1,0,0.000758716,0.079342422
100142,2015,1,6.285540995,106,1,1,3.965154646,1,1,0.012920866,0.090337289
100142,2017,1,5.431943048,24,1,1,4.008131562,0,0,0.006472629,0.18664144
100143,2007,1,5.501885403,12,0,1,2.824125834,0,1,0.004296995,0.028069828
100143,2009,1,8.578617796,11,0,1,2.77815125,0,1,6.350164,31.00276
100143,2013,1,5.966097245,18,0,1,3.861056245,0,1,0.025121865,0.052913684
100143,2015,1,6.137018575,17,0,1,3.778223627,0,1,0.020238467,0.06575132
100144,2007,1,5.48023105,14,1,1,3.072984745,1,1,0.097032789,0.038017629
