sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work
1,104,.47999999,1,1,1,2,3,1,1,1,1,1,2,3,3,1,1,5,1,3,9,-1
1,105,-.47,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,22,13,1
0,106,-.58999997,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,1,9,22,-1
1,106,.94,0,1,1,2,1,2,2,1,4,2,1,2,1,1,4,3,1,13,13,1
1,103,2.27,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,0,9,9,1
1,104,1.88,1,1,2,2,2,1,2,2,1,2,2,4,2,2,2,3,1,18,22,0
1,104,.28,1,1,1,1,1,1,2,2,2,2,2,4,2,3,2,3,1,18,22,0
1,104,1.63,0,1,1,2,1,1,2,1,2,1,1,3,1,1,4,3,1,9,0,0
1,104,1.92,1,1,2,2,2,2,1,1,4,2,2,3,2,3,3,2,1,13,9,-1
1,104,.81,1,1,1,2,2,1,2,2,3,1,2,3,3,4,3,2,1,10,9,-1
1,103,1.3,1,1,2,2,1,2,2,2,3,2,2,3,2,2,2,3,0,9,9,0
1,105,-.76999998,1,1,1,1,1,1,3,2,2,3,2,2,1,1,2,1,1,16,16,-1
1,103,1.12,0,1,1,2,2,1,2,1,3,3,4,1,1,3,2,3,1,15,11,1
1,105,1.23,1,1,1,3,5,5,4,5,1,4,2,4,2,3,2,3,1,9,9,1
1,106,-.94999999,1,1,3,2,3,3,2,2,1,2,4,4,2,2,3,1,1,7,8,-1
1,104,.69999999,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,3,1,13,13,1
0,103,1.71,1,0,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,,6,-1
0,103,.15000001,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,8,13,-1
1,104,.86000001,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,4,13,-1
1,103,.44999999,1,1,1,1,1,2,2,1,3,2,1,2,1,1,2,3,1,11,7,-1
1,102,-1.6900001,0,1,1,1,1,1,1,2,4,3,1,5,1,1,5,5,1,10,11,0
1,104,1.39,1,1,1,1,2,2,2,2,2,2,3,2,2,3,2,3,1,22,22,1
1,103,2.74,1,1,1,1,1,1,1,2,4,2,1,3,2,1,1,1,1,7,7,1
1,103,2.5799999,1,1,1,1,1,1,1,1,3,2,2,3,2,1,3,2,1,15,16,0
1,104,2.24,0,1,1,1,1,2,1,2,4,1,1,2,2,1,2,3,1,9,13,1
1,103,-.55000001,1,1,1,2,1,1,3,3,3,3,1,2,2,3,3,1,1,12,12,1
1,103,3.1500001,0,1,1,1,1,1,1,1,3,1,1,3,1,1,4,3,1,9,9,1
1,103,1.39,0,0,1,1,1,1,1,1,3,2,3,1,1,1,1,,1,6,7,-1
1,103,.58999997,0,1,1,1,2,1,1,1,2,1,1,4,3,5,5,,0,6,9,-1
1,103,-.56,0,1,3,3,5,5,5,4,3,3,1,3,3,1,5,2,1,13,20,1
0,103,-1.3099999,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,4,1,13,9,-1
1,105,-.51999998,1,1,3,2,1,3,2,3,3,2,1,3,2,3,2,2,1,2,3,0
1,103,.47,1,1,1,3,1,1,3,3,3,3,5,5,4,3,5,1,1,13,13,-1
1,103,.47,1,1,1,3,1,1,3,3,3,3,5,5,4,3,5,1,1,13,13,-1
1,104,-.38999999,0,0,1,1,2,4,1,1,1,1,1,2,1,2,3,2,1,12,9,1
0,105,.63,1,0,1,1,1,1,1,1,4,3,2,3,3,5,4,2,1,10,12,-1
1,103,.46000001,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,13,13,1
0,103,2.9100001,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,3,1,13,9,1
1,103,1.13,1,1,1,1,1,1,1,1,3,1,1,3,1,3,4,4,0,9,3,-1
1,105,2.23,1,0,1,1,1,1,1,1,3,1,1,3,1,1,5,1,0,,9,-1
1,103,1.49,0,0,1,1,1,1,1,1,3,1,1,1,1,1,4,2,1,11,11,1
1,105,2.3599999,0,1,3,3,3,3,2,2,3,3,3,4,4,3,4,,1,6,4,-1
1,103,1.84,1,1,1,2,1,1,2,2,3,2,2,4,3,2,3,1,1,13,13,-1
0,103,.69,1,0,1,2,1,1,1,2,1,1,1,2,1,3,2,2,1,13,14,0
1,102,.07,0,0,4,3,3,3,3,3,4,2,3,4,3,3,3,3,1,5,6,-1
0,102,3.6500001,1,1,2,3,3,3,3,3,2,3,3,3,3,3,3,2,1,7,11,1
1,102,.050000001,1,1,1,2,1,3,1,2,1,2,2,2,2,1,1,1,1,13,19,-1
0,102,1.34,1,1,1,1,1,1,1,1,3,1,1,1,1,5,1,3,1,13,20,0
1,103,2.53,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,9,6,1
1,102,2.1300001,0,1,3,3,3,4,3,3,4,3,4,4,4,4,4,2,0,11,11,0
1,102,2.3299999,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1,11,11,1
1,103,2.9400001,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,3,1,13,13,1
0,104,1.4,1,1,1,1,1,2,1,2,2,2,3,3,2,2,1,2,1,12,8,1
0,103,-1.1799999,0,1,1,1,1,1,1,1,1,1,5,1,1,5,1,3,1,11,7,0
0,103,.63999999,0,1,1,1,1,1,1,2,3,2,1,2,1,3,2,2,1,13,12,1
0,101,.83999997,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,9,11,-1
0,102,-.80000001,0,1,1,1,1,1,1,2,3,1,1,3,2,2,2,2,0,8,10,1
0,102,-.34,1,1,1,1,1,1,1,3,5,1,2,1,1,1,1,3,1,3,5,-1
1,103,1.51,1,1,3,3,3,3,2,2,4,2,2,3,2,1,3,,1,13,13,1
1,104,-.18000001,1,1,1,1,3,1,1,1,1,1,3,3,1,1,4,3,0,9,7,1
