region,idc,puntaje,nem,ingreso2,vacantes,ingreso,year,stem,area
7,16581,,,,,71,2018,0,Art/Humanities
7,39378,542,548,27,45,36,2018,0,Art/Humanities
7,2120,629,524,45,46,149,2018,0,Art/Humanities
7,2118,644,558,47,50,186,2018,0,Art/Humanities
7,2322,536,549,76,108,436,2018,0,Art/Humanities
7,13476,528,553,23,30,84,2018,0,Art/Humanities
1,2858,529,556,13,20,60,2018,0,Art/Humanities
1,2855,561,574,32,25,140,2018,0,Art/Humanities
1,2856,509,552,18,25,83,2018,0,Art/Humanities
2,2895,577,594,38,32,207,2018,0,Art/Humanities
6,3166,690,556,29,30,101,2018,0,Art/Humanities
6,3106,546,509,54,58,199,2018,0,Art/Humanities
6,3122,530,532,12,21,70,2018,0,Art/Humanities
6,39291,515,493,25,36,27,2018,0,Art/Humanities
6,3112,524,484,24,33,120,2018,0,Art/Humanities
7,2866,692,595,23,20,108,2018,0,Art/Humanities
7,2860,571,528,74,72,331,2018,0,Art/Humanities
7,2865,542,492,28,42,77,2018,0,Art/Humanities
7,2876,550,529,39,40,106,2018,0,Art/Humanities
7,40361,,,,25,16,2018,0,Art/Humanities
7,35646,,,,,12,2018,0,Art/Humanities
7,1336,585,569,40,60,160,2018,0,Art/Humanities
7,22102,597,575,46,30,152,2018,0,Art/Humanities
7,1311,539,514,75,100,453,2018,0,Art/Humanities
12,1274,547,533,32,45,203,2018,0,Art/Humanities
7,11397,579,565,38,40,171,2018,0,Art/Humanities
7,15464,546,594,19,30,98,2018,0,Art/Humanities
7,34617,545,565,22,25,48,2018,0,Art/Humanities
7,12218,,,,25,29,2018,0,Art/Humanities
7,15465,544,599,17,25,24,2018,0,Art/Humanities
7,15462,550,528,11,25,53,2018,0,Art/Humanities
7,1682,498,554,13,25,62,2018,0,Art/Humanities
7,17399,549,582,8,25,40,2018,0,Art/Humanities
10,2365,643,655,99,85,637,2018,0,Art/Humanities
10,2366,546,531,55,50,227,2018,0,Art/Humanities
7,4496,,,,,15,2018,0,Art/Humanities
7,9610,,528,50,60,159,2018,0,Art/Humanities
10,4470,,,,,24,2018,0,Art/Humanities
7,4342,,478,32,65,136,2018,0,Art/Humanities
6,4547,,,,20,28,2018,0,Art/Humanities
7,4537,,538,19,20,48,2018,0,Art/Humanities
7,22027,,,,,17,2018,0,Art/Humanities
7,39405,,,,,103,2018,0,Art/Humanities
7,26448,578,540,54,70,163,2018,0,Art/Humanities
7,1022,531,510,93,138,454,2018,0,Art/Humanities
6,15546,526,504,52,77,259,2018,0,Art/Humanities
7,1103,527,518,24,44,71,2018,0,Art/Humanities
7,1035,540,510,24,47,122,2018,0,Art/Humanities
7,26443,557,554,27,35,77,2018,0,Art/Humanities
7,26442,546,517,8,23,61,2018,0,Art/Humanities
7,1033,540,538,9,100,21,2018,0,Art/Humanities
7,11898,,,,,5,2018,0,Art/Humanities
10,18214,,,,,1,2018,0,Art/Humanities
7,11899,542,493,39,50,103,2018,0,Art/Humanities
6,13463,550,540,9,18,29,2018,0,Art/Humanities
6,18240,,,,,1,2018,0,Art/Humanities
7,11900,534,498,26,50,69,2018,0,Art/Humanities
11,14598,,,,40,166,2018,0,Art/Humanities
10,4664,575,558,36,50,212,2018,0,Art/Humanities
7,4673,610,589,115,90,712,2018,0,Art/Humanities
7,10457,634,596,37,30,155,2018,0,Art/Humanities
7,33726,543,501,32,42,34,2018,0,Art/Humanities
10,8842,535,529,73,90,309,2018,0,Art/Humanities
14,8846,527,500,31,40,159,2018,0,Art/Humanities
7,15477,542,514,47,65,215,2018,0,Art/Humanities
12,5650,,,,45,195,2018,0,Art/Humanities
7,28873,577,563,4,7,5,2018,0,Art/Humanities
7,39226,,,,4,14,2018,0,Art/Humanities
7,1003,,,,,31,2018,0,Art/Humanities
7,1015,616,567,12,11,55,2018,0,Art/Humanities
7,24779,623,621,8,14,52,2018,0,Art/Humanities
7,21009,,,,15,72,2018,0,Art/Humanities
7,6532,,,,50,188,2018,0,Art/Humanities
7,21545,,,,,59,2018,0,Art/Humanities
7,6536,,,,32,72,2018,0,Art/Humanities
7,27945,,,,,9,2018,0,Art/Humanities
6,2636,523,,35,75,213,2018,0,Art/Humanities
6,14944,505,,17,35,68,2018,0,Art/Humanities
5,22221,,,,,4,2018,0,Art/Humanities
7,22220,,,,,5,2018,0,Art/Humanities
7,27078,,,,,3,2018,0,Art/Humanities
10,11889,517,500,18,20,50,2018,0,Art/Humanities
10,13484,552,532,47,45,238,2018,0,Art/Humanities
10,3946,540,519,5,10,19,2018,0,Art/Humanities
7,4313,,,,,8,2018,0,Art/Humanities
12,34327,573,566,58,40,163,2018,0,Art/Humanities
12,8840,555,549,34,25,126,2018,0,Art/Humanities
12,16491,551,537,15,20,45,2018,0,Art/Humanities
12,16483,556,529,11,20,70,2018,0,Art/Humanities
7,3202,569,571,113,100,530,2018,0,Art/Humanities
7,10344,,,,,36,2018,0,Art/Humanities
7,3207,524,543,61,80,258,2018,0,Art/Humanities
14,3439,,,,,2,2018,0,Art/Humanities
14,18280,550,543,37,40,135,2018,0,Art/Humanities
7,3982,,,,10,8,2018,0,Art/Humanities
7,8861,557,518,121,135,243,2018,0,Art/Humanities
7,3993,575,502,18,20,51,2018,0,Art/Humanities
7,24206,583,526,37,35,174,2018,0,Art/Humanities
7,8864,591,512,51,45,128,2018,0,Art/Humanities
7,3996,596,549,39,36,138,2018,0,Art/Humanities
5,32559,,,,35,112,2018,0,Art/Humanities
7,32557,,,,90,237,2018,0,Art/Humanities
7,32568,,,,,11,2018,0,Art/Humanities
12,32561,,,,30,72,2018,0,Art/Humanities
5,7141,,,,,4,2018,0,Art/Humanities
7,7196,,,,,24,2018,0,Art/Humanities
12,9270,,,,,9,2018,0,Art/Humanities
7,9157,,,,,2,2018,0,Art/Humanities
7,4647,,,,50,103,2018,0,Art/Humanities
7,9073,,,,60,128,2018,0,Art/Humanities
6,15631,,,,,3,2018,0,Art/Humanities
7,15643,,,,80,202,2018,0,Art/Humanities
7,10547,,,,60,158,2018,0,Art/Humanities
7,15646,,,,,1,2018,0,Art/Humanities
7,33463,,,,,15,2018,0,Art/Humanities
6,15630,,,,60,129,2018,0,Art/Humanities
6,15635,,,,60,120,2018,0,Art/Humanities
7,31617,,,,50,108,2018,0,Art/Humanities
6,18387,,,,40,46,2018,0,Art/Humanities
7,36512,,,,,22,2018,0,Art/Humanities
7,31620,,,,30,53,2018,0,Art/Humanities
6,33755,,,,40,38,2018,0,Art/Humanities
7,4650,,,,,4,2018,0,Art/Humanities
6,15633,,,,,3,2018,0,Art/Humanities
7,4651,,,,,12,2018,0,Art/Humanities
6,15632,,,,,2,2018,0,Art/Humanities
7,11962,,,,,2,2018,0,Art/Humanities
7,38943,,,,,40,2018,0,Art/Humanities
7,6210,,,,70,228,2018,0,Art/Humanities
6,6182,,,,30,99,2018,0,Art/Humanities
7,18416,,,,90,307,2018,0,Art/Humanities
6,19923,,,,60,243,2018,0,Art/Humanities
10,6199,,,,,23,2018,0,Art/Humanities
7,19926,,,,60,178,2018,0,Art/Humanities
7,6286,,,,80,325,2018,0,Art/Humanities
6,6175,,,,40,144,2018,0,Art/Humanities
7,6186,,,,100,341,2018,0,Art/Humanities
6,6174,,,,90,307,2018,0,Art/Humanities
7,6356,,,,60,176,2018,0,Art/Humanities
10,6206,,,,50,156,2018,0,Art/Humanities
7,6194,,,,60,254,2018,0,Art/Humanities
6,6184,,,,40,165,2018,0,Art/Humanities
10,27368,,,,35,111,2018,0,Art/Humanities
7,6212,,,,70,241,2018,0,Art/Humanities
6,36041,,,,,1,2018,0,Art/Humanities
6,6374,,,,50,150,2018,0,Art/Humanities
6,32786,,,,,2,2018,0,Art/Humanities
7,33470,,,,,1,2018,0,Art/Humanities
7,31522,,,,,4,2018,0,Art/Humanities
7,30970,,,,,6,2018,0,Art/Humanities
6,27937,,,,,23,2018,0,Art/Humanities
6,32771,,,,,1,2018,0,Art/Humanities
7,30973,,,,30,85,2018,0,Art/Humanities
7,36027,,,,,12,2018,0,Art/Humanities
10,6259,,,,,4,2018,0,Art/Humanities
7,30965,,,,,3,2018,0,Art/Humanities
7,6213,,,,,10,2018,0,Art/Humanities
6,33472,,,,,6,2018,0,Art/Humanities
6,6375,,,,25,82,2018,0,Art/Humanities
7,38511,,,,,3,2018,0,Art/Humanities
10,38503,,,,,2,2018,0,Art/Humanities
7,35685,,,,,1,2018,0,Art/Humanities
6,33467,,,,,2,2018,0,Art/Humanities
7,38916,,,,,13,2018,0,Art/Humanities
7,38917,,,,30,76,2018,0,Art/Humanities
6,38895,,,,30,21,2018,0,Art/Humanities
6,13841,,,,45,133,2018,0,Art/Humanities
7,22560,,,,46,109,2018,0,Art/Humanities
7,26904,,,,120,356,2018,0,Art/Humanities
7,26824,,,,55,139,2018,0,Art/Humanities
7,26825,,,,40,79,2018,0,Art/Humanities
9,13498,,,,30,68,2018,0,Art/Humanities
10,34422,,,,30,28,2018,0,Art/Humanities
13,34457,,,,30,17,2018,0,Art/Humanities
7,26497,,,,40,115,2018,0,Art/Humanities
7,14220,,,,105,243,2018,0,Art/Humanities
7,19768,,,,55,133,2018,0,Art/Humanities
7,28250,,,,28,78,2018,0,Art/Humanities
7,9769,,,,,1,2018,0,Art/Humanities
7,5792,,,,38,93,2018,0,Art/Humanities
